,Chromosome,TSS,TTS,Description,PromLenJing,PromTypes,name,PromLenSagie,opn_score
117,2.0,186474.0,185998.0,"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends",740.0,2.0,POP8,264.0,-2.0110359553687798
118,2.0,184353.0,185915.0,Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII,754.0,2.0,APN2,96.0,-0.1918450555564153
119,2.0,182401.0,184125.0,Essential integral membrane protein that is required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein,779.0,2.0,RFT1,204.0,-1.2814042977080762
120,2.0,182094.0,181660.0,"Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding",737.0,2.0,HAP3,204.0,-3.695159761972224
121,2.0,181275.0,177874.0,"ATP-dependent Lon protease, involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria",823.0,2.0,PIM1,92.0,-0.3623507635266136
122,2.0,177526.0,174920.0,Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex,768.0,2.0,MCM2,219.0,-1.187546237693745
123,2.0,172534.0,174588.0,"S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase, methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; similar to Nop2p and human proliferation associated nucleolar protein p120",728.0,2.0,NCL1,127.0,-0.8948870007488532
124,2.0,171481.0,171918.0,"Protein involved in promoting high level transcription of rDNA, subunit of UAF (upstream activation factor) for RNA polymerase I",762.0,2.0,RRN10,257.0,-0.6984963393637003
125,2.0,170623.0,171038.0,"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA",766.0,1.0,LSM2,700.0,-0.9670602947545356
126,2.0,168423.0,169376.0,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Ap and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal",751.0,1.0,RPL19B,507.0,-0.1221943830526299
127,2.0,167838.0,167518.0,Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis,735.0,1.0,YBL028C,507.0,-0.5631910623488325
128,2.0,166134.0,167264.0,Non-essential protein of unknown function,700.0,1.0,YBL029W,700.0,
129,2.0,163997.0,163041.0,"Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; phosphorylated; required for viability in many lab strains that carry a sal1 mutation",833.0,2.0,PET9,246.0,-0.251806816398334
130,2.0,161699.0,162715.0,"Mitotic spindle protein that interacts with components of the Dam1 (DASH) complex, its effector Sli15p, and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure",732.0,2.0,SHE1,160.0,-1.5758037769315862
131,2.0,160184.0,161329.0,"RNA binding protein involved in the asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K",791.0,2.0,HEK2,371.0,-0.5226533120575132
132,2.0,159693.0,158656.0,GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway,718.0,1.0,RIB1,371.0,-0.5745773240985317
